"moleculeid"	"concentration (units.mmol / units.L)"
"GLC[p]"	22.203
"ACET[p]"	0
"FUM[p]"	0
"MAL[p]"	0
"SUC[p]"	0
"OXYGEN-MOLECULE[p]"	NaN
"AMMONIUM[c]"	18.695
"PI[p]"	69.454
"K+[p]"	21.883
"SULFATE[p]"	2
"FE+2[p]"	NaN
"FE+3[p]"	0
"CA+2[p]"	NaN
"CL-[p]"	27.25
"CO+2[p]"	NaN
"MG+2[p]"	2
"MN+2[p]"	NaN
"NI+2[p]"	NaN
"ZN+2[p]"	NaN
"WATER[p]"	NaN
"CARBON-DIOXIDE[p]"	NaN
"CPD0-1958[p]"	NaN
"L-SELENOCYSTEINE[c]"	NaN
"GLC-D-LACTONE[c]"	NaN
"CYTOSINE[c]"	NaN
"CYTIDINE[c]"	0
"ARABINOSE[c]"	0
"CPD-183[p]"	0
"INDOLE[p]"	0
"NITRATE[p]"	0
"NITRITE[p]"	0
"S-ADENOSYLMETHIONINE[c]"	0
"CPD-520[p]"	0
"TUNGSTATE[p]"	0
"L-ALPHA-ALANINE[p]"	NaN
"ARG[p]"	NaN
"ASN[p]"	NaN
"L-ASPARTATE[p]"	NaN
"CYS[p]"	NaN
"GLT[p]"	NaN
"GLN[p]"	NaN
"GLY[p]"	NaN
"HIS[p]"	NaN
"ILE[p]"	NaN
"LEU[p]"	NaN
"LYS[p]"	NaN
"MET[p]"	NaN
"PHE[p]"	NaN
"PRO[p]"	NaN
"SER[p]"	NaN
"THR[p]"	NaN
"TRP[p]"	NaN
"TYR[p]"	NaN
"VAL[p]"	NaN
"MI-PENTAKISPHOSPHATE[p]"	NaN
"HYPOXANTHINE[p]"	NaN
"CARBON-MONOXIDE[p]"	NaN
"HYDROGEN-MOLECULE[c]"	NaN
"CPD0-2167[c]"	NaN
"CPD-239[p]"	NaN
"UNDECAPRENYL-DIPHOSPHATE[p]"	NaN
"GLYCOLLATE[c]"	NaN
"CPD-10774[p]"	NaN
"BETAINE[p]"	NaN
"CPD-10774[c]"	NaN
"CH33ADO[c]"	NaN
"URACIL[p]"	NaN
"METOH[p]"	NaN
"CPD-1772[c]"	NaN
"4FE-4S[c]"	NaN
"CPD-560[p]"	NaN
"CPD-108[p]"	NaN
"THYMINE[p]"	NaN
"S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE[c]"	NaN
"UREA[p]"	NaN
"FORMATE[p]"	NaN
"D-ALANINE[p]"	NaN
"CPD-534[p]"	NaN
"GLYCEROL[p]"	NaN
"GLYCOLALDEHYDE[c]"	NaN
"D-LACTATE[p]"	NaN
"BUTANAL[c]"	NaN
"CPD-564[c]"	NaN
"XANTHINE[p]"	NaN
"PROTON[p]"	NaN
"ETOH[p]"	NaN
